divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
14,2016,1,1.0860121633362294,False,Backstroke,1.0280407090946517,-0.04508855790521582,0.20314871592859818,-0.2709142002331245,-0.8241099374201141,14
15,2016,8,1.0857763300760044,False,Backstroke,1.028264002037548,-0.04532439116544085,0.20476642375731863,-0.27233120228532015,-0.8251143440105054,15
16,2016,3,1.0848340203948794,False,Backstroke,1.0291571738091334,-0.04626670084656581,0.2112372550722036,-0.27799306164597115,-0.8291276119143134,16
1,2018,20,1.3896609227348529,False,Backstroke,0.803408008540955,0.25856020149340764,-1.4242653597646824,1.5535566772163052,0.469120774876885,1
2,2018,18,1.337613697164259,False,Backstroke,0.8346690205464398,0.2065129759228137,-1.1977862637437473,1.240831384039888,0.24745324450051384,2
3,2018,16,1.2077294685990339,False,Backstroke,0.9244327835907598,0.07662874735758862,-0.547467716597925,0.46042314879282914,-0.30571968384016995,3
4,2018,14,1.2065637065637067,False,Backstroke,0.9253259553623451,0.07546298532226148,-0.5409968852830408,0.45341867794400076,-0.31068462843701505,4
5,2018,11,1.2004801920768309,False,Backstroke,0.9300151071631678,0.06937947083538565,-0.5070250208799004,0.41686593511103603,-0.3365941292323185,5
6,2018,9,1.154467790348649,False,Backstroke,0.9670817356839568,0.023367069107203875,-0.23848552131222134,0.14040082746221483,-0.5325595307682286,6
7,2018,7,1.1494252873563218,False,Backstroke,0.9713243015989868,0.01832456611487654,-0.20774907256652422,0.11010299296036066,-0.5540353956768892,7
8,2018,10,1.137138958380714,False,Backstroke,0.9818190699151137,0.006038237139268876,-0.13171680461663965,0.036280694291483284,-0.6063624923003322,8
9,2018,12,1.1291779584462511,False,Backstroke,0.9887411511448997,-0.0019227627951940995,-0.08156786192628927,-0.011552903199810675,-0.6402681457804649,9
10,2018,0,1.1061946902654867,False,Backstroke,1.009284101891361,-0.02490603097595856,0.0672612583160382,-0.14964766619986983,-0.7381531769565801,10
11,2018,8,1.105460977227504,False,Backstroke,1.00995398072005,-0.025639744013941312,0.07211438180220112,-0.15405617448047554,-0.7412780381831211,11
12,2018,3,1.0981770261366133,False,Backstroke,1.0166527690069396,-0.03292369510483195,0.12064561666383025,-0.19782173000066125,-0.772300161495151,12
13,2018,6,1.0815487778498811,False,Backstroke,1.0322832750096818,-0.0495519433915641,0.2338851646742961,-0.2977324123371382,-0.8431193587106806,13
14,2018,4,1.074575542660649,False,Backstroke,1.0389820632965714,-0.05652517858079631,0.28241639953592523,-0.33963103411829276,-0.8728181525692341,14
15,2018,0,1.053740779768177,False,Backstroke,1.0595250140430328,-0.07735994147326819,0.43124551977825354,-0.46481652215111924,-0.9615527659077948,15
16,2018,0,1.0530749789385005,False,Backstroke,1.0601948928717215,-0.07802574230294468,0.43609864326441483,-0.46881698053050536,-0.9643883911312133,16
17,2018,1,1.0090817356205852,False,Backstroke,1.1064165320512596,-0.12201898562086,0.7709641638096527,-0.7331499927813931,-1.1517542591985166,17
18,2018,0,1.0004001600640258,False,Backstroke,1.1160181285958013,-0.13070056117741946,0.8405256004446539,-0.7853131625064705,-1.1887288220556325,18
19,2018,5,0.9877518767285658,False,Backstroke,1.1303088769411658,-0.14334884451287944,0.9440589014827955,-0.8613102607359463,-1.242597471147585,19
20,2018,2,0.9875567845151095,False,Backstroke,1.1305321698840622,-0.1435439367263357,0.9456766093115175,-0.8624824705700094,-1.243428362874827,20
21,2018,0,0.9782821365681863,False,Backstroke,1.1412502311430854,-0.15281858467325893,1.0233265850901225,-0.9182091104919714,-1.2829288027727475,21
22,2018,0,0.9551098376313276,False,Backstroke,1.168938556062229,-0.1759908836101176,1.2239223558515209,-1.0574396631132994,-1.3816189101159246,22
23,2018,0,0.9545628102329132,False,Backstroke,1.169608434890918,-0.176537911008532,1.2287754793376837,-1.0607264723844805,-1.3839486829544454,23
24,2018,0,0.9419743782969103,False,Backstroke,1.18523894089366,-0.1891263429445349,1.3420150273481497,-1.1363639540112067,-1.4375624267798486,24
1,2017,20,1.4459224985540775,False,Backstroke,0.7495850917539949,0.3410204593606698,-1.814200450061247,2.0490184051803815,0.708737093137981,1
2,2017,18,1.3520822065981613,False,Backstroke,0.8016095052938904,0.24718016740475357,-1.437295116751258,1.4851798433367551,0.3090741804731776,2
3,2017,16,1.2990387113535982,False,Backstroke,0.8343415321460749,0.19413667216019048,-1.200158844543722,1.1664684726613135,0.0831635682457272,3
4,2017,14,1.256281407035176,False,Backstroke,0.8627381912032677,0.1513793678417683,-0.9944313501120207,0.9095615889259683,-0.0989384736961683,4
5,2017,12,1.172607879924953,False,Backstroke,0.9243004138921441,0.0677058407315454,-0.5484267056951996,0.4068099434773912,-0.4553014480730904,5
6,2017,11,1.1289230074508918,False,Backstroke,0.9600671982008223,0.02402096825748412,-0.289304289044582,0.14432977470651778,-0.6413539742158663,6
7,2017,9,1.1145786892554614,False,Backstroke,0.9724229964165475,0.00967665006205376,-0.19978927238345956,0.05814206606492176,-0.7024459835296224,7
8,2017,10,1.1140819964349375,False,Backstroke,0.9728565331960467,0.009179957241529868,-0.1966483946058758,0.05515769165852277,-0.7045613829514777,8
9,2017,8,1.1130899376669634,False,Backstroke,0.973723606755045,0.008187898473555721,-0.1903666390507091,0.04919691535081823,-0.7087865306836423,9
