divsRank,qualified,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
1.0,True,20,1.7111567419575633,False,0.6428673917410392,0.5606037366912191,-1.9123419733436826,2.721348877974138,2.109382252069975,1.0
2.0,True,18,1.4998125234345707,False,0.733456251614199,0.34925951816822653,-1.4272647917966577,1.6954168081337704,1.2824662591785627,2.0
3.0,True,0,1.2456402590931739,False,0.8831176284902573,0.0950872538268297,-0.6258713425012987,0.4615837793707273,0.2879791054622718,3.0
4.0,True,14,1.2433171702101204,False,0.8847676987976009,0.09276416494377626,-0.6170356925641943,0.45030676690797633,0.27888967134512255,4.0
5.0,True,16,1.2076565424793189,False,0.9108938119972068,0.057103537212974675,-0.47713790189337657,0.2771987354919767,0.1393621101313355,5.0
6.0,True,12,1.1896264572924102,False,0.9246994002353143,0.03907345202606605,-0.40321296408627083,0.18967496623783495,0.06881669422904398,6.0
7.0,True,11,1.0185892538833716,False,1.0799710161563403,-0.13196375138297256,0.42822169499524104,-0.6405940297132086,-0.6003920490561138,7.0
8.0,True,9,0.9762288280372919,False,1.1268330128848967,-0.17432417722905225,0.6791541532090034,-0.8462250125302756,-0.7661335765159871,8.0
9.0,False,10,0.975276734773492,False,1.127933059756459,-0.17527627049285222,0.6850445865004059,-0.8508467761140526,-0.7698587843880668,9.0
10.0,False,0,0.9379103357719002,False,1.1728699744597813,-0.212642669494444,0.9256687864542134,-1.032235163920902,-0.916060431857389,10.0
11.0,False,0,0.9028122601904934,False,1.2184669172860407,-0.24774074507585075,1.1698272463828612,-1.2026123882438322,-1.053386923307257,11.0
12.0,False,0,0.8361553576654542,False,1.3156010560449964,-0.31439764760088995,1.6899525060137328,-1.526186198091019,-1.314192064416723,12.0
13.0,False,0,0.8252527336496802,False,1.3329817966156816,-0.32530027161666397,1.7830213520178977,-1.5791110034221734,-1.3568502181440023,13.0
1.0,True,20,1.5328019619865114,False,0.6103100098043623,0.5657938048979119,-2.086677350679328,2.7465431201214607,1.4115423915930412,1.0
2.0,True,18,1.4854426619132504,False,0.6297680849176835,0.5184345048246508,-1.9824849781567473,2.5166460115565257,1.226242018029889,2.0
3.0,True,16,1.3986013986013985,False,0.6688713320204156,0.431593241512799,-1.773098383375791,2.0950908933719803,0.8864625342222819,3.0
4.0,True,14,1.350621285791464,False,0.6926326352837983,0.38361312870286435,-1.6458634669299468,1.8621801622893823,0.6987331375983913,4.0
5.0,True,10,1.2324377618930245,False,0.7590520262956156,0.2654296048044249,-1.2902068107230606,1.2884797405720798,0.23632235252526188,5.0
6.0,True,12,1.2091898428053205,False,0.7736455826306066,0.24218168571672094,-1.2120625313311246,1.1756269456585784,0.1453613779151307,6.0
7.0,True,8,1.2010569300984866,False,0.7788842951611161,0.23404877300988702,-1.1840107387288912,1.1361472001256037,0.11354013561633038,7.0
8.0,True,11,1.1652295502213936,False,0.8028326953005882,0.19822139313279408,-1.055773972547254,0.9622297007440708,-0.02663986841127459,8.0
9.0,True,5,1.1425959780621573,False,0.8187359297682065,0.17558782097355774,-0.9706167450047597,0.8523591412582884,-0.11519711840625463,9.0
10.0,True,7,1.1410314924691922,False,0.8198585110247444,0.17402333538059267,-0.9646056465899949,0.8447646304936067,-0.1213184032301888,10.0
