,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,eventMeanAge,eventMedianAge,gender,distance,stroke
100,118,22,,118,16,48,4,54.93,54.19,,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
101,119,23,22.0,119,16,5,4,56.84,54.96,53.98,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
102,120,24,21.0,120,16,5,4,59.07,55.51,51.83,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
103,121,26,,121,16,49,4,53.77,56.17,,False,2017,15.966666666666667,16.0,Girls,50,Backstroke
104,122,27,,122,16,36,4,56.16,59.24,,False,2017,15.966666666666667,16.0,Girls,50,Backstroke
105,123,28,,123,16,34,4,60.4,59.44,,False,2017,15.966666666666667,16.0,Girls,50,Backstroke
106,124,29,,124,16,33,4,56.53,62.58,,False,2017,15.966666666666667,16.0,Girls,50,Backstroke
107,125,30,,125,16,5,4,86.42,87.64,,False,2017,15.966666666666667,16.0,Girls,50,Backstroke
108,139,1,1.0,139,17,3,5,34.41,35.64,33.72,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
109,140,2,2.0,140,17,16,5,34.91,36.64,34.43,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
110,141,3,3.0,141,17,3,5,33.83,36.71,35.71,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
111,142,4,4.0,142,17,48,5,40.3,39.62,39.97,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
112,143,5,6.0,143,17,26,5,41.63,41.4,41.0,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
113,144,6,5.0,144,17,49,5,42.94,42.06,40.71,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
114,145,7,7.0,145,17,16,5,42.5,44.45,42.16,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
115,146,8,8.0,146,17,3,5,41.56,45.35,43.1,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
116,147,9,,147,17,52,5,46.87,46.68,,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
117,148,10,9.0,148,17,16,5,47.67,47.11,44.81,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
118,149,11,14.0,149,17,46,5,46.93,47.24,48.43,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
119,150,12,11.0,150,17,3,5,51.44,47.57,47.93,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
120,151,13,12.0,151,17,3,5,49.52,47.61,47.94,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
121,152,14,13.0,152,17,3,5,49.23,47.74,48.36,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
122,153,15,10.0,153,17,39,5,56.59,50.52,47.87,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
123,154,16,,154,17,46,5,50.69,51.01,,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
124,155,17,16.0,155,17,10,5,52.69,51.54,50.25,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
125,156,18,15.0,156,17,3,5,51.35,52.15,48.84,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
126,157,19,19.0,157,17,46,5,51.8,52.32,52.05,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
127,158,20,20.0,158,17,18,5,55.06,52.72,52.64,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
128,159,21,17.0,159,17,33,5,54.68,53.32,51.31,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
129,160,22,18.0,160,17,18,5,56.19,54.13,51.77,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
130,161,23,,161,17,39,5,57.17,55.36,,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
131,162,24,22.0,162,17,3,5,59.5,58.48,57.78,True,2017,16.978947368421053,17.0,Girls,50,Backstroke
132,163,25,21.0,163,17,46,5,56.83,61.3,57.16,False,2017,16.978947368421053,17.0,Girls,50,Backstroke
133,164,26,23.0,164,17,34,5,58.0,62.52,61.29,False,2017,16.978947368421053,17.0,Girls,50,Backstroke
134,165,27,,165,17,48,5,67.51,65.46,,False,2017,16.978947368421053,17.0,Girls,50,Backstroke
135,166,28,,166,17,36,5,65.47,76.74,,False,2017,16.978947368421053,17.0,Girls,50,Backstroke
136,171,1,1.0,171,15,35,6,32.9,30.9,30.05,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
137,172,2,3.0,172,15,3,6,35.15,34.61,34.08,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
138,173,3,2.0,173,15,3,6,38.21,35.24,34.06,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
139,174,4,4.0,174,15,45,6,35.35,35.27,34.57,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
140,175,5,5.0,175,15,3,6,40.47,38.39,38.4,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
141,176,6,7.0,176,15,43,6,39.3,40.27,40.94,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
142,177,7,10.0,177,15,17,6,40.98,41.29,42.06,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
143,178,8,9.0,178,15,16,6,44.47,41.41,41.54,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
144,179,9,6.0,179,15,34,6,42.76,41.54,40.73,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
145,180,10,8.0,180,15,17,6,40.95,42.46,41.44,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
146,181,11,11.0,181,15,3,6,50.97,43.19,42.89,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
147,182,12,15.0,182,15,46,6,45.44,44.22,44.15,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
