id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,numRelays,numEvents,gender,distance,stroke,isRelay,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,normed_numRelays,normed_numEvents,normed_distance,clipped_divsRank,designation
37,,,37.0,15.0,39,2,216.38,,,False,2017,0,,0.0,2.0,Boys,200,Freestyle,False,,,,0.0,1.0,1.0,,
1286,1.0,1.0,521.0,15.0,3,2,130.14,133.65,128.19,True,2016,20,1.4964459408903852,1.0,2.0,Boys,200,Freestyle,False,0.7351063219215429,-1.2592936478518788,1.3840429404807262,0.5,1.0,1.0,1.0,
1287,2.0,2.0,720.0,17.0,26,2,125.66,134.29,128.71,True,2016,18,1.4893141708243356,2.0,2.0,Boys,200,Freestyle,False,0.7386264719105423,-1.2425589996232416,1.3555061448527972,1.0,1.0,1.0,2.0,
1288,3.0,4.0,480.0,15.0,27,2,146.23,138.84,140.55,True,2016,14,1.4405070584845865,0.0,2.0,Boys,200,Freestyle,False,0.7636525382385859,-1.1235861098727704,1.1602112072525037,0.0,1.0,1.0,3.0,
1289,4.0,3.0,721.0,17.0,49,2,143.46,143.28,132.95,True,2016,16,1.3958682300390843,2.0,2.0,Boys,200,Freestyle,False,0.7880735787872702,-1.0074894877865963,0.9815950835381998,1.0,1.0,1.0,4.0,
1290,5.0,6.0,722.0,15.0,29,2,148.69,145.12,143.19,True,2016,11,1.3781697905181918,0.0,2.0,Boys,200,Freestyle,False,0.7981940100056438,-0.9593773741292634,0.9107772154825161,0.0,1.0,1.0,5.0,
1291,6.0,7.0,723.0,17.0,3,2,147.73,145.86,145.61,True,2016,10,1.371177841766077,2.0,2.0,Boys,200,Freestyle,False,0.8022641834304246,-0.9400279371149007,0.8827998955840667,1.0,1.0,1.0,6.0,
1292,7.0,5.0,724.0,17.0,30,2,154.0,148.74,141.99,True,2016,12,1.344628210299852,1.0,2.0,Boys,200,Freestyle,False,0.8181048583809225,-0.8647220200860313,0.7765652020743572,0.5,1.0,1.0,7.0,
1293,8.0,8.0,522.0,14.0,17,2,158.44,156.13,159.57999999999998,True,2016,9,1.2809837955549863,2.0,2.0,Boys,200,Freestyle,False,0.8587515902851514,-0.6714891288209813,0.5219008425096334,1.0,1.0,1.0,8.0,
1294,9.0,,725.0,17.0,5,2,176.82,169.09,,False,2016,0,1.182802058075581,2.0,2.0,Boys,200,Freestyle,False,0.930034627562392,-0.33261250219106814,0.1290401430063559,1.0,1.0,1.0,9.0,
1295,10.0,,485.0,14.0,5,2,189.41,181.34,,False,2016,0,1.1029006286533583,2.0,2.0,Boys,200,Freestyle,False,0.9974124984455861,-0.012300875939800523,-0.1906744216366924,1.0,1.0,1.0,10.0,
1296,11.0,,726.0,17.0,3,2,185.82,192.95,,False,2016,0,1.0365379632029024,0.0,2.0,Boys,200,Freestyle,False,1.0612702193397807,0.2912761020828295,-0.4562154870027112,0.0,1.0,1.0,11.0,
1297,12.0,,257.0,15.0,3,2,150.46,199.68,,False,2016,0,1.001602564102564,0.0,2.0,Boys,200,Freestyle,False,1.098286796567854,0.4672513873620978,-0.5960046746901257,0.0,1.0,1.0,12.0,
1298,13.0,,727.0,15.0,48,2,191.9,203.99,,False,2016,0,0.9804402176577283,1.0,2.0,Boys,200,Freestyle,False,1.1219928066500227,0.5799487840268293,-0.6806828892021964,0.5,1.0,1.0,13.0,
1299,14.0,,728.0,16.0,33,2,221.69,205.74,,False,2016,0,0.972100709633518,2.0,2.0,Boys,200,Freestyle,False,1.1316182167761932,0.6257075877770103,-0.7140522819224226,1.0,1.0,1.0,14.0,
1300,15.0,,506.0,16.0,27,2,198.94,227.92000000000002,,False,2016,0,0.8775008775008775,0.0,1.0,Boys,200,Freestyle,False,1.2536134148324585,1.2056677404507352,-1.092580480532856,0.0,0.5,1.0,15.0,
1301,16.0,,729.0,16.0,33,2,226.0,242.81,,False,2016,0,0.8236893043943825,2.0,2.0,Boys,200,Freestyle,False,1.3355119044202755,1.5950097906451322,-1.3079000786039718,1.0,1.0,1.0,16.0,
1302,,,730.0,15.0,5,2,204.18,,,False,2016,0,,0.0,2.0,Boys,200,Freestyle,False,,,,0.0,1.0,1.0,,
1303,,,731.0,14.0,34,2,147.0,,,False,2016,0,,2.0,2.0,Boys,200,Freestyle,False,,,,1.0,1.0,1.0,,
1304,,,732.0,14.0,33,2,145.18,,,False,2016,0,,2.0,2.0,Boys,200,Freestyle,False,,,,1.0,1.0,1.0,,
2647,1.0,1.0,18.0,17.0,3,2,113.12,116.88,113.02000000000001,True,2018,20,1.7111567419575633,2.0,2.0,Boys,200,Freestyle,False,0.6428673917410395,-1.6977937272179005,2.2431786378486223,1.0,1.0,1.0,1.0,
2648,2.0,2.0,1222.0,17.0,33,2,132.12,133.35,125.0,True,2018,18,1.4998125234345707,1.0,2.0,Boys,200,Freestyle,False,0.7334562516141993,-1.2671380142090531,1.3975138568364456,0.5,1.0,1.0,2.0,
2649,3.0,,842.0,17.0,26,2,167.07999999999998,160.56,,True,2018,0,1.2456402590931739,1.0,2.0,Boys,200,Freestyle,False,0.8831176284902575,-0.5556539856133798,0.3804785493849089,0.5,1.0,1.0,3.0,
2650,4.0,4.0,1223.0,15.0,45,2,156.53,160.86,155.99,True,2018,14,1.2433171702101204,1.0,2.0,Boys,200,Freestyle,False,0.8847676987976012,-0.5478096192562052,0.3711830291890466,0.5,1.0,1.0,4.0,
2651,5.0,3.0,1224.0,15.0,52,2,165.25,165.61,152.53,True,2018,16,1.2076565424793189,0.0,2.0,Boys,200,Freestyle,False,0.9108938119972071,-0.4236071519342851,0.2284919390258953,0.0,1.0,1.0,5.0,
2652,6.0,5.0,212.0,17.0,36,2,192.35,168.12,169.0,True,2018,12,1.1896264572924102,1.0,2.0,Boys,200,Freestyle,False,0.9246994002353145,-0.3579759534125974,0.1563470365167255,0.5,1.0,1.0,6.0,
2653,7.0,6.0,1225.0,15.0,10,2,210.87,196.35,197.5,True,2018,11,1.0185892538833716,2.0,2.0,Boys,200,Freestyle,False,1.0799710161563407,0.38017892079746707,-0.5280347751868395,1.0,1.0,1.0,7.0,
2654,8.0,8.0,217.0,17.0,36,2,206.16,204.87,203.44,True,2018,9,0.9762288280372919,1.0,2.0,Boys,200,Freestyle,False,1.1268330128848971,0.6029589253412065,-0.6975341847143838,0.5,1.0,1.0,8.0,
2655,9.0,7.0,33.0,16.0,3,2,218.91,205.07,202.07999999999998,False,2018,10,0.975276734773492,0.0,2.0,Boys,200,Freestyle,False,1.1279330597564594,0.6081885029126556,-0.7013438547733117,0.0,1.0,1.0,9.0,
2656,10.0,,1226.0,15.0,33,2,217.88,213.24,,False,2018,0,0.9379103357719002,2.0,2.0,Boys,200,Freestyle,False,1.1728699744597815,0.8218167467063577,-0.8508603537328372,1.0,1.0,1.0,10.0,
2657,11.0,,1227.0,15.0,33,2,222.63,221.53,,False,2018,0,0.9028122601904934,1.0,2.0,Boys,200,Freestyle,False,1.2184669172860412,1.0385827370429306,-0.9913004689530702,0.5,1.0,1.0,11.0,
2658,12.0,,1228.0,15.0,10,2,246.65,239.19,,False,2018,0,0.8361553576654542,2.0,2.0,Boys,200,Freestyle,False,1.3156010560449969,1.5003544366019006,-1.2580188834464137,1.0,1.0,1.0,12.0,
2659,13.0,,1229.0,15.0,33,2,244.62,242.35,,False,2018,0,0.8252527336496802,2.0,2.0,Boys,200,Freestyle,False,1.332981796615682,1.5829817622307991,-1.3016442317771728,1.0,1.0,1.0,13.0,
38,1.0,1.0,38.0,15.0,3,3,30.45,32.62,32.08,True,2017,20,1.5328019619865114,2.0,2.0,Girls,50,Backstroke,False,0.6103100098043622,-2.1443733735865105,3.1412494086289433,1.0,1.0,0.25,1.0,
39,2.0,2.0,39.0,15.0,48,3,33.81,33.66,33.26,True,2017,18,1.4854426619132504,1.0,2.0,Girls,50,Backstroke,False,0.6297680849176833,-2.0373001122145555,2.8783137383187056,0.5,1.0,0.25,2.0,
40,3.0,3.0,40.0,15.0,35,3,35.5,35.75,34.68,True,2017,16,1.3986013986013985,2.0,2.0,Girls,50,Backstroke,False,0.6688713320204154,-1.8221240388805293,2.396176845582375,1.0,1.0,0.25,3.0,
41,4.0,4.0,41.0,15.0,52,3,37.76,37.02,37.28,True,2017,14,1.350621285791464,1.0,2.0,Girls,50,Backstroke,False,0.692632635283798,-1.6913711139359295,2.1297944644296654,0.5,1.0,0.25,4.0,
42,5.0,7.0,42.0,15.0,16,3,40.62,40.57,40.54,True,2017,10,1.2324377618930245,2.0,2.0,Girls,50,Backstroke,False,0.7590520262956154,-1.3258806544451207,1.4736474346426518,1.0,1.0,0.25,5.0,
43,6.0,5.0,43.0,15.0,17,3,44.33,41.35,40.18,True,2017,12,1.2091898428053205,2.0,2.0,Girls,50,Backstroke,False,0.7736455826306063,-1.2455757084161538,1.3445765408754777,1.0,1.0,0.25,6.0,
44,7.0,9.0,44.0,15.0,33,3,36.25,41.63,42.45,True,2017,8,1.2010569300984866,2.0,2.0,Girls,50,Backstroke,False,0.7788842951611159,-1.2167482918929349,1.2994231528220639,1.0,1.0,0.25,7.0,
45,8.0,6.0,45.0,15.0,3,3,47.06,42.91,40.3,True,2017,11,1.1652295502213936,2.0,2.0,Girls,50,Backstroke,False,0.802832695300588,-1.0849658163582212,1.1005119330854864,1.0,1.0,0.25,8.0,
46,9.0,12.0,46.0,15.0,26,3,44.47,43.76,44.74,True,2017,5,1.1425959780621573,2.0,2.0,Girls,50,Backstroke,False,0.8187359297682063,-0.9974540161984498,0.9748518524255538,1.0,1.0,0.25,9.0,
47,10.0,10.0,47.0,15.0,18,3,42.42,43.82,42.7,True,2017,7,1.1410314924691922,2.0,2.0,Girls,50,Backstroke,False,0.8198585110247442,-0.9912767126577594,0.9661659329241964,1.0,1.0,0.25,10.0,
48,11.0,11.0,48.0,15.0,35,3,42.94,44.61,43.34,True,2017,6,1.1208249271463797,2.0,2.0,Girls,50,Backstroke,False,0.8346391642358246,-0.9099422160386782,0.8539804320911504,1.0,1.0,0.25,11.0,
49,12.0,16.0,49.0,15.0,48,3,49.2,44.9,47.03,True,2017,1,1.1135857461024499,0.0,2.0,Girls,50,Backstroke,False,0.8400649736424237,-0.8800852489253449,0.8137889825271072,0.0,1.0,0.25,12.0,
50,13.0,8.0,50.0,15.0,3,3,47.97,45.38,42.25,True,2017,9,1.1018069634200087,2.0,2.0,Girls,50,Backstroke,False,0.8490456236947259,-0.8306668205998263,0.7483939679205701,1.0,1.0,0.25,13.0,
51,14.0,15.0,51.0,15.0,26,3,49.78,48.51,46.87,True,2017,2,1.0307153164296021,2.0,2.0,Girls,50,Backstroke,False,0.907606945910779,-0.5084174858938457,0.3536978928948524,1.0,1.0,0.25,14.0,
52,15.0,18.0,52.0,15.0,5,3,49.78,48.56,48.94,True,2017,0,1.029654036243822,2.0,2.0,Girls,50,Backstroke,False,0.9085424302912272,-0.5032697329432705,0.34780573619905236,1.0,1.0,0.25,15.0,
53,16.0,17.0,53.0,15.0,16,3,47.42,48.81,48.18,True,2017,0,1.0243802499487809,2.0,2.0,Girls,50,Backstroke,False,0.9132198521934679,-0.47753096819039614,0.31852602698851656,1.0,1.0,0.25,16.0,
54,17.0,14.0,54.0,15.0,49,3,49.11,49.02,46.24,True,2017,3,1.0199918400652794,1.0,2.0,Girls,50,Backstroke,False,0.9171488865913501,-0.45591040579798203,0.2941618684699242,0.5,1.0,0.25,17.0,
55,18.0,13.0,55.0,15.0,3,3,50.22,49.3,45.73,True,2017,4,1.0141987829614605,2.0,2.0,Girls,50,Backstroke,False,0.9223875991218595,-0.4270829892747638,0.26199920241738867,1.0,1.0,0.25,18.0,
