qualified,points,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank
TRUE,0,0.193313972,-0.358657809,20
TRUE,0,0.336284095,-0.479546909,21
TRUE,0,0.42976456,-0.555273837,22
TRUE,0,0.766294235,-0.808263965,23
TRUE,0,0.815783894,-0.843083671,24
FALSE,0,0.85427585,-0.86977253,24
FALSE,0,1.070930575,-1.013887027,24
FALSE,0,1.073130116,-1.015299128,24
FALSE,0,1.341474039,-1.180457544,24
FALSE,0,1.933150396,-1.500752984,24
FALSE,0,2.712887453,-1.849757248,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.815966146,2.418748074,1
TRUE,18,-1.785172581,2.351568025,2
TRUE,16,-1.743381314,2.262305998,3
TRUE,14,-1.697190967,2.166121375,4
TRUE,0,-1.404652099,1.611225785,5
TRUE,12,-1.306772553,1.444152229,6
TRUE,11,-1.235287491,1.327336061,7
TRUE,10,-1.230888411,1.320284585,8
TRUE,9,-1.085718747,1.096031845,9
TRUE,5,-1.016433226,0.994480027,10
TRUE,7,-0.914154599,0.850561985,11
TRUE,8,-0.844869078,0.756903936,12
TRUE,6,-0.49294262,0.323691493,13
TRUE,4,-0.49074308,0.321187236,14
TRUE,3,-0.313680081,0.126980399,15
TRUE,2,-0.313680081,0.126980399,15
FALSE,1,-0.265290193,0.076326874,17
FALSE,0,-0.119020759,-0.070926554,18
FALSE,0,-0.111322368,-0.07844254,19
FALSE,0,-0.089326964,-0.099792175,20
FALSE,0,-0.046435927,-0.140900461,21
FALSE,0,-0.00134535,-0.183386395,22
FALSE,0,0.06244132,-0.242246515,23
FALSE,0,0.071239482,-0.250253497,24
FALSE,0,0.129527301,-0.302632852,24
FALSE,0,0.155921786,-0.325977245,24
FALSE,0,0.159221096,-0.328879146,24
FALSE,0,0.190014661,-0.355792447,24
FALSE,0,0.248302481,-0.405903549,24
FALSE,0,0.287894207,-0.439334922,24
FALSE,0,0.440762262,-0.564018066,24
FALSE,0,0.493551231,-0.605520675,24
FALSE,0,0.584832156,-0.675500339,24
FALSE,0,0.656317217,-0.728782231,24
FALSE,0,0.91916229,-0.914003069,24
FALSE,0,0.925760911,-0.918448655,24
FALSE,0,1.297483232,-1.154316336,24
FALSE,0,1.355771052,-1.188877975,24
FALSE,0,1.584523249,-1.318783061,24
FALSE,0,1.846268552,-1.457087009,24
FALSE,0,2.134408339,-1.597933036,24
