divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
3,15,True,14,1.4405070584845865,0,16,8,Boys,200,Freestyle,0.9129930871219906,0.09985731473838322,-0.6180274179950872,0.5941952611778303,0.7512987549239551,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.125,0.0
4,17,True,16,1.3958682300390843,2,16,8,Boys,200,Freestyle,0.9421899274188908,0.055218486292881064,-0.41063645070944244,0.3285744561688194,0.5617408517504855,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.16666666666666666,1.0
5,15,True,11,1.3781697905181918,0,16,8,Boys,200,Freestyle,0.9542895188932821,0.0375200467719885,-0.32469064444692225,0.22326090031055723,0.48658477794987703,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.20833333333333334,0.0
6,17,True,10,1.371177841766077,2,16,8,Boys,200,Freestyle,0.9591556589427654,0.030528098019873662,-0.29012548323264814,0.18165570768356243,0.45689360569688314,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.25,1.0
7,17,True,12,1.344628210299852,1,16,8,Boys,200,Freestyle,0.9780941499461602,0.003978466553648641,-0.1556016125608789,0.023673638522385007,0.3441511201518109,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.2916666666666667,0.5
8,14,True,9,1.2809837955549863,2,16,8,Boys,200,Freestyle,1.0266897917916766,-0.059665948191216955,0.1895829028086964,-0.3550388247649876,0.07388637020506388,-0.5913632720556408,-1.0238112902275098,-2.235966852863884,0.3333333333333333,1.0
1,17,True,20,1.7111567419575633,2,13,8,Boys,200,Freestyle,0.7685870932211053,0.37050699821136,-1.6437719318673305,2.2046807802432347,1.9006072892269015,-0.771107296895326,-1.0238112902275098,1.1983952274050043,0.041666666666666664,1.0
2,17,True,18,1.4998125234345707,1,13,8,Boys,200,Freestyle,0.8768915886467692,0.15916277968836745,-0.8744635464631484,0.9470890509572919,1.0031382402807767,-0.771107296895326,-1.0238112902275098,1.1983952274050043,0.08333333333333333,0.5
3,17,True,0,1.2456402590931739,1,13,8,Boys,200,Freestyle,1.0558208734392596,-0.09500948465302939,0.39650677332117523,-0.5653485244990066,-0.07619925918405816,-0.771107296895326,-1.0238112902275098,1.1983952274050043,0.125,0.5
4,15,True,14,1.2433171702101204,1,13,8,Boys,200,Freestyle,1.05779363291878,-0.09733257353608282,0.4105196765161525,-0.5791719325209596,-0.08606421023434896,-0.771107296895326,-1.0238112902275098,-1.0911794927742544,0.16666666666666666,0.5
