id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
1301,16.0,,729.0,16.0,33,2,226.0,242.81,,False,2016,0,0.8236893043943825,1.335511904420275,1.5950097906451322,-1.3079000786039723,16.0,
1302,,,730.0,15.0,5,2,204.18,,,False,2016,0,,,,,,
1303,,,731.0,14.0,34,2,147.0,,,False,2016,0,,,,,,
1304,,,732.0,14.0,33,2,145.18,,,False,2016,0,,,,,,
2647,1.0,1.0,18.0,17.0,3,2,113.12,116.88,113.02000000000001,True,2018,20,1.7111567419575633,0.6428673917410392,-1.6977937272179002,2.243178637848621,1.0,
2648,2.0,2.0,1222.0,17.0,33,2,132.12,133.35,125.0,True,2018,18,1.4998125234345707,0.733456251614199,-1.267138014209053,1.3975138568364442,2.0,
2649,3.0,,842.0,17.0,26,2,167.07999999999998,160.56,,True,2018,0,1.2456402590931739,0.8831176284902573,-0.5556539856133793,0.3804785493849079,3.0,
2650,4.0,4.0,1223.0,15.0,45,2,156.53,160.86,155.99,True,2018,14,1.2433171702101204,0.8847676987976009,-0.5478096192562053,0.3711830291890456,4.0,
2651,5.0,3.0,1224.0,15.0,52,2,165.25,165.61,152.53,True,2018,16,1.2076565424793189,0.9108938119972068,-0.4236071519342852,0.22849193902589435,5.0,
2652,6.0,5.0,212.0,17.0,36,2,192.35,168.12,169.0,True,2018,12,1.1896264572924102,0.9246994002353143,-0.35797595341259697,0.15634703651672455,6.0,
2653,7.0,6.0,1225.0,15.0,10,2,210.87,196.35,197.5,True,2018,11,1.0185892538833716,1.0799710161563403,0.3801789207974666,-0.5280347751868402,7.0,
2654,8.0,8.0,217.0,17.0,36,2,206.16,204.87,203.44,True,2018,9,0.9762288280372919,1.1268330128848967,0.6029589253412062,-0.6975341847143844,8.0,
2655,9.0,7.0,33.0,16.0,3,2,218.91,205.07,202.07999999999998,False,2018,10,0.975276734773492,1.127933059756459,0.6081885029126551,-0.7013438547733124,9.0,
2656,10.0,,1226.0,15.0,33,2,217.88,213.24,,False,2018,0,0.9379103357719002,1.1728699744597813,0.8218167467063585,-0.8508603537328377,10.0,
2657,11.0,,1227.0,15.0,33,2,222.63,221.53,,False,2018,0,0.9028122601904934,1.2184669172860407,1.0385827370429304,-0.9913004689530708,11.0,
2658,12.0,,1228.0,15.0,10,2,246.65,239.19,,False,2018,0,0.8361553576654542,1.3156010560449964,1.5003544366019006,-1.258018883446414,12.0,
2659,13.0,,1229.0,15.0,33,2,244.62,242.35,,False,2018,0,0.8252527336496802,1.3329817966156816,1.582981762230799,-1.3016442317771733,13.0,
38,1.0,1.0,38.0,15.0,3,3,30.45,32.62,32.08,True,2017,20,1.5328019619865114,0.6103100098043623,-2.144373373586513,3.1412494086289455,1.0,
39,2.0,2.0,39.0,15.0,48,3,33.81,33.66,33.26,True,2017,18,1.4854426619132504,0.6297680849176835,-2.0373001122145573,2.8783137383187083,2.0,
40,3.0,3.0,40.0,15.0,35,3,35.5,35.75,34.68,True,2017,16,1.3986013986013985,0.6688713320204156,-1.8221240388805313,2.3961768455823775,3.0,
41,4.0,4.0,41.0,15.0,52,3,37.76,37.02,37.28,True,2017,14,1.350621285791464,0.6926326352837983,-1.6913711139359315,2.129794464429668,4.0,
42,5.0,7.0,42.0,15.0,16,3,40.62,40.57,40.54,True,2017,10,1.2324377618930245,0.7590520262956156,-1.3258806544451227,1.4736474346426547,5.0,
43,6.0,5.0,43.0,15.0,17,3,44.33,41.35,40.18,True,2017,12,1.2091898428053205,0.7736455826306066,-1.2455757084161558,1.3445765408754806,6.0,
44,7.0,9.0,44.0,15.0,33,3,36.25,41.63,42.45,True,2017,8,1.2010569300984866,0.7788842951611161,-1.216748291892937,1.2994231528220668,7.0,
45,8.0,6.0,45.0,15.0,3,3,47.06,42.91,40.3,True,2017,11,1.1652295502213936,0.8028326953005882,-1.0849658163582234,1.1005119330854893,8.0,
46,9.0,12.0,46.0,15.0,26,3,44.47,43.76,44.74,True,2017,5,1.1425959780621573,0.8187359297682065,-0.9974540161984519,0.9748518524255568,9.0,
47,10.0,10.0,47.0,15.0,18,3,42.42,43.82,42.7,True,2017,7,1.1410314924691922,0.8198585110247444,-0.9912767126577616,0.9661659329241993,10.0,
48,11.0,11.0,48.0,15.0,35,3,42.94,44.61,43.34,True,2017,6,1.1208249271463797,0.8346391642358248,-0.9099422160386803,0.8539804320911533,11.0,
